iter	RMSE	AUC
0	0.7792733787	0.9782717075
1	0.7612235736	0.996011632722	0.7487954177	0.996510178633	0.7347559731	0.9955130864	4	0.7192789305	0.9961778145	5	0.7052882602	0.9960116326	6	0.6884433082	0.9955961777	7	0.6722337039	0.995346908	08	0.6605335003	0.995180729	09	0.648355898	0.9954299951010	0.634871946	0.9949314499111	0.6222048836	0.9957623598112	0.6096381569	0.9950976319113	0.5957203265	0.994765268
14	0.5810170004	0.994848359
15	0.5692097368	0.9950145409
16	0.5556372569	0.994515995
17	0.5434292426	0.994349813
18	0.5321773195	0.9941005401
19	0.5218424187	0.9941005401

4
